"﻿变量名",typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
默认值,,0,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,
ID,问题类型索引id,同组内随机权重,组,问题描述,问题描述,问题描述,问题描述,问题描述,选项1,选项2,选项3,选项4,选项5,选项4,选项3,选项4,选项5,选项6,选项5,选项4,选项5,选项6,选项7,选项6,选项5,选项6,选项7,选项8,答案,资源
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,50,101,What was the first Pokémon that Ash obtained in the animation?,動畫中小智第一只獲得的精靈是什麽？,What was the first Pokémon that Ash obtained in the animation?,404,404,Pikachu,皮卡丘,Pikachu,404,404,Charmander,小火龍,Charmander,404,404,Squirtle,傑尼龜,Squirtle,404,404,Bulbasaur,妙蛙種子,Bulbasaur,404,404,1,
2,1,50,101,What is the name of Ash's mother in the animation?,動畫中小智的母親叫什麽名字？,What is the name of Ash's mother in the animation?,404,404,Delia,花子,Delia,404,404,Caroline,美津子,Caroline,404,404,Johanna,彩子,Johanna,404,404,Lusamine,露莎米奈,Lusamine,404,404,1,
3,1,50,101,Which of the following girls in the animation would not like Ash?,動畫中以下哪位女生不會喜歡小智？,Which of the following girls in the animation would not like Ash?,404,404,Jessie,武藏,Jessie,404,404,Misty,小霞,Misty,404,404,Macy,小萌,Macy,404,404,Serena,莎莉娜,Serena,404,404,1,
4,1,50,101,"In the animation, Brock and his father served as the same Leader of the Gym. What is the name of this Gym?",動畫中小剛曾和父親擔任過相同的道館館主，這個道館的名字是？,"In the animation, Brock and his father served as the same Leader of the Gym. What is the name of this Gym?",404,404,Pewter Gym,深灰道館,Pewter Gym,404,404,Cerulean Gym,華藍道館,Cerulean Gym,404,404,Viridian Gym,常青道館,Viridian Gym,404,404,Vermilion Gym,枯葉道館,Vermilion Gym,404,404,1,
5,1,50,101,"Who is the “twerp"" by the Team Rocket in the animation most of the time?",動畫中火箭隊口中的“小鬼頭”大多時候指的誰？,"Who is the “twerp"" by the Team Rocket in the animation most of the time?",404,404,Ash,小智,Ash,404,404,Brock,小剛,Brock,404,404,Misty,小霞,Misty,404,404,Pikachu,皮卡丘,Pikachu,404,404,1,
6,1,50,102,"In the anime, which was the first Pokémon that Jessie got in the Johto area?",動畫中武藏在城都地區得到的第一只精靈是哪只精靈？,"In the anime, which was the first Pokémon that Jessie got in the Johto area?",404,404,Wobbuffet,果然翁,Wobbuffet,404,404,Lickitung,大舌頭,Lickitung,404,404,Starmie,寶石海星,Starmie,404,404,Meowth,喵喵,Meowth,404,404,1,
7,1,50,102,"In the animation, which of the following statements about Jessie is wrong?",動畫中，以下關於武藏說法錯誤的是哪一項？,"In the animation, which of the following statements about Jessie is wrong?",404,404,Pampered since childhood,自幼養尊處優,Pampered since childhood,404,404,Born in a Team Rocket family,出生於火箭隊世家,Born in a Team Rocket family,404,404,She wanted to be an Pokémon nurse,曾希望成為一名精靈護士,She wanted to be an Pokémon nurse,404,404,Used to be a TV anchor,曾做過電視臺主播,Used to be a TV anchor,404,404,1,
